Time	Cap_LAD_D1	Cap_LAD_D4	Cap_LAD_LAD3	Cap_LAD_RI	Cap_LCX_LCX1	Cap_RCA_AM	Cap_RCA_RPDA1	Cap_RCA_RPLB2	Cap_Aorta_Inlet	Cap_Aorta_Outlet	
131	1.11503e-07	7.3694e-09	1.70506e-07	1.76209e-07	1.21226e-07	1.16267e-07	8.39017e-08	1.12809e-07	-1.86006e-05	1.77009e-05	

1	3.25046e-08	8.37544e-09	2.98293e-08	5.68932e-08	6.80024e-08	5.58657e-08	1.74055e-08	2.56055e-08	-1.86006e-05	1.83142e-05	
2	1.25442e-07	3.34952e-08	8.51887e-08	1.736e-07	2.55028e-07	2.74185e-07	5.66889e-08	6.37844e-08	-1.86006e-05	1.74912e-05	
3	1.95261e-07	4.18919e-08	1.20124e-07	2.32482e-07	3.76558e-07	4.3747e-07	1.00249e-07	1.0216e-07	-1.86006e-05	1.69689e-05	
4	2.43414e-07	3.81308e-08	1.33289e-07	2.7941e-07	4.41291e-07	5.20642e-07	1.20532e-07	1.27469e-07	-1.86006e-05	1.67e-05	
5	2.76582e-07	3.35541e-08	1.47396e-07	3.18154e-07	4.75474e-07	5.47722e-07	1.41307e-07	1.48669e-07	-1.86006e-05	1.64994e-05	
6	3.01692e-07	3.20675e-08	1.61573e-07	3.5189e-07	4.95234e-07	5.48934e-07	1.59419e-07	1.66626e-07	-1.86006e-05	1.63803e-05	
7	3.20715e-07	3.22482e-08	1.75896e-07	3.79132e-07	5.06377e-07	5.40752e-07	1.74343e-07	1.81537e-07	-1.86006e-05	1.62859e-05	
8	3.35751e-07	3.24543e-08	1.89346e-07	4.01629e-07	5.12696e-07	5.31306e-07	1.86756e-07	1.94147e-07	-1.86006e-05	1.62163e-05	
9	3.47993e-07	3.25002e-08	2.01201e-07	4.20811e-07	5.16212e-07	5.23495e-07	1.97003e-07	2.04887e-07	-1.86006e-05	1.61585e-05	
10	3.58133e-07	3.24811e-08	2.11537e-07	4.37469e-07	5.18108e-07	5.17736e-07	2.05426e-07	2.14085e-07	-1.86006e-05	1.61077e-05	
11	3.66656e-07	3.24558e-08	2.20573e-07	4.52078e-07	5.19041e-07	5.13785e-07	2.1254e-07	2.22078e-07	-1.86006e-05	1.60628e-05	
12	3.73881e-07	3.24299e-08	2.28604e-07	4.64955e-07	5.19396e-07	5.11233e-07	2.18588e-07	2.29098e-07	-1.86006e-05	1.60235e-05	
13	3.80054e-07	3.24008e-08	2.35868e-07	4.76383e-07	5.19416e-07	5.09649e-07	2.23787e-07	2.35287e-07	-1.86006e-05	1.59884e-05	
14	3.85362e-07	3.23713e-08	2.42527e-07	4.86566e-07	5.19247e-07	5.08703e-07	2.28282e-07	2.40761e-07	-1.86006e-05	1.59574e-05	
15	3.89956e-07	3.23449e-08	2.48657e-07	4.95669e-07	5.18979e-07	5.08155e-07	2.32179e-07	2.4561e-07	-1.86006e-05	1.59298e-05	
16	3.93955e-07	3.23221e-08	2.54295e-07	5.03835e-07	5.18663e-07	5.07834e-07	2.35569e-07	2.49907e-07	-1.86006e-05	1.59049e-05	
17	3.97456e-07	3.2302e-08	2.59471e-07	5.11186e-07	5.18328e-07	5.07628e-07	2.38529e-07	2.53716e-07	-1.86006e-05	1.58827e-05	
18	4.00537e-07	3.22846e-08	2.64217e-07	5.17824e-07	5.17992e-07	5.07475e-07	2.41122e-07	2.57092e-07	-1.86006e-05	1.58628e-05	
19	4.03238e-07	3.22674e-08	2.68553e-07	5.23802e-07	5.17665e-07	5.07381e-07	2.43267e-07	2.60046e-07	-1.86006e-05	1.58433e-05	
20	4.05651e-07	3.22507e-08	2.7257e-07	5.29268e-07	5.17341e-07	5.07235e-07	2.45265e-07	2.62687e-07	-1.86006e-05	1.58274e-05	
21	4.07804e-07	3.22383e-08	2.76291e-07	5.34221e-07	5.1704e-07	5.07096e-07	2.4704e-07	2.65034e-07	-1.86006e-05	1.5813e-05	
22	4.09728e-07	3.22271e-08	2.79736e-07	5.38721e-07	5.16762e-07	5.0697e-07	2.48604e-07	2.67113e-07	-1.86006e-05	1.58001e-05	
23	4.11455e-07	3.22173e-08	2.82925e-07	5.42837e-07	5.16505e-07	5.06839e-07	2.50014e-07	2.68967e-07	-1.86006e-05	1.57895e-05	
24	4.13013e-07	3.22087e-08	2.85904e-07	5.46564e-07	5.16277e-07	5.06755e-07	2.51218e-07	2.706e-07	-1.86006e-05	1.57779e-05	
25	4.14413e-07	3.21981e-08	2.88661e-07	5.5003e-07	5.16057e-07	5.06649e-07	2.5231e-07	2.72066e-07	-1.86006e-05	1.57687e-05	
26	4.15684e-07	3.21901e-08	2.91238e-07	5.53192e-07	5.15856e-07	5.06552e-07	2.53274e-07	2.73397e-07	-1.86006e-05	1.57594e-05	
